tpryan,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right."
vcu451,Reading my kindle2...  Love it... Lee childs is good read.
chadfu,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!"
SIX15,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
yamarama,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
GeorgeVHulme,@richardebaker no. it is too big. I'm quite happy with the Kindle2.
Seth937,Fuck this economy. I hate aig and their non loan given asses.
dcostalis,Jquery is my new best friend.
PJ_King,Loves twitter
mandanicole,how can you not love Obama? he makes jokes about himself.
jpeb,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
kylesellers,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism"
theviewfans,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation"
MumsFP,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
vincentx24x,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x"
cameronwylie,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2"
luv8242,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
mtgillikin,i love lebron. http://bit.ly/PdHur
ursecretdezire,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end."
Native_01,@Pmillzz lebron IS THE BOSS
princezzcutz,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol"
peterlikewhat,lebron and zydrunas are such an awesome duo
emceet,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.
CocoSavanna,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.
DreambigRadio,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!"
andrewwatson,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)
fredwilson,In montreal for a long weekend of R&amp
JoeSchueller,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv
scottabel,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP
JustMe_D,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake."
hiteshbagai,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
Annimallover,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv
J_Holl,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT."
vamsmack,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.
schroncd,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
MarissaLeeD,omg so bored &amp
robloposky,I'm itchy and miserable!
EdwinLValencia,"@sekseemess no. I'm not itchy for now. Maybe later, lol."
imusicmash,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR
drewloewe,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane."
VickyTigger,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)"
babblyabbie,is going to sleep then on a bike ride:]
kisjoaquin,cant sleep... my tooth is aching.
Whacktackular,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess."
Adrigonzo,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf"
sulu34,is in San Francisco at Bay to Breakers.
schuyler,just landed at San Francisco
MattBragoni,San Francisco today.  Any suggestions?
KennyTRoland,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
aMild,started to think that Citi is in really deep s&amp
Trazor1,ShaunWoo hate'n on AiG
mimknits,@YarnThing you will not regret going to see Star Trek. It was AWESOME!
GeeRen,On my way to see Star Trek @ The Esquire.
checkyesjess,Going to see star trek soon with my dad.
renano,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.
kottkedotorg,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
davidm89,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell
livreal,Blink by malcolm gladwell amazing book and The tipping point!
mikearosso,Malcolm Gladwell might be my new man crush
wendy93639,omg. The commercials alone on ESPN are going to drive me nuts.
ClayFranklin,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.
cURLTesting,playing with cURL and the Twitter API
ringerdrop,Hello Twitter API 
danserfaty,playing with Java and the Twitter API
raykolbe,@morind45 Because the twitter api is slow and most client's aren't good.
CarolineVilas,yahoo answers can be a butt sometimes
rachelbegins,is scrapbooking with Nic =D
leedscentlib,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR
sportsgirl505,just changed my default pic to a Nike basketball cause bball is awesome!!!!!
MatrixSystems,"Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding"
cadburysgirl,"'Next time, I'll call myself Nike'"
AddictedToFresh,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
coreysmbpro,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
PRolivia,Back when I worked for Nike we had one fav word : JUST DO IT! :)
ErrantDreams,"By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9"
nikete,"giving weka an app engine interface, using the bird strike data for the tests, the logo is a given."
bigdigit,"Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t"
justinbettman,Class... The 50d is supposed to come today :)
read0,needs someone to explain lambda calculus to him! :(
BAK3R,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.
SLICKSPIT,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......
ckwright,"@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer."
souleaterjh,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!
susangao,"NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9"
jimmy_chan2009,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
a_fio,@ work til 6pm... lets go lakers!!!
luvslikepi,Damn you North Korea. http://bit.ly/KtMeQ
utsagrad123,Can we just go ahead and blow North Korea off the map already?
stabotage,"North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl"
zed01,Why the hell is Pelosi in freakin China? and on whose dime?
funky_old_man,"Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where ""bailout"" means taking a handout!"
malcozer,insects have infected my spinach plant :(
AntoineTheReaL,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects
jonwolpert,"just got back from church, and I totally hate insects."
